screen_name,followers,rt,text
BBonechi,2640,0,b'#Microsoft et #WarnerBros ont d\\xe9velopp\\xe9 une technologie en verre de quartz capable de stocker plusieurs centaines d\\u2026 https://t.co/QaTMlzrKSS'
ArkangelScrap,40137,18,b'RT @gp_pulipaka: TIOBE #Programming Index for Nov. 2019. #C Getting Close to #Java. #BigData #Analytics #DataScience #IoT #IIoT #CPP #PyTor\\u2026'
jimmy_gott,1486,21,b'RT @gp_pulipaka: Java #DeepLearning Cookbook Released! #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #PyTorch #Python #R\\u2026'
ArkangelScrap,40137,18,b'RT @gp_pulipaka: #DotNETCore with #Jupyter Notebooks \\u2013 Available Today. #BigData #Analytics #Hadoop #ApacheSpark #DataScience #AI #MachineL\\u2026'
ArkangelScrap,40137,30,b'RT @gp_pulipaka: Azure Internet of Things Revealed. #BigData #Analytics #DataScience #AI #MachineLearning #Azure #IoT #IIoT #PyTorch #Pytho\\u2026'
ArkangelScrap,40137,21,b'RT @gp_pulipaka: Java #DeepLearning Cookbook Released! #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #PyTorch #Python #R\\u2026'
ravikikan,11573,2,b'RT @jackcoleman219: #DesignThinking Vs System Thinking \\n\\nvia @ravikikan #startups #DataScience #bigdata #Infographics #business @MikeQuinda\\u2026'
ArkangelScrap,40137,32,b'RT @gp_pulipaka: 9 #Azure Tips for Production Machine Learning. #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #PyTorch #\\u2026'
ArkangelScrap,40137,12,b'RT @gp_pulipaka: #DataOps Part 3: Deploy Titanic to #Kubernetes. #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #PyTorch\\u2026'
onuka_chiagozie,834,7,"b'RT @Ronald_vanLoon: Difference between the #SurfaceWeb, the #DeepWeb and the #DarkWeb [#INFOGRAPHICS] \\n by @glwebeu | \\n\\nRead more at  \\n\\n#AI\\u2026'"
jimmy_gott,1486,3,"b'RT @erdiayyildiz: Data Center Expo Eurasia 2019, the first and only data center exhibition in Eurasia Region, will take place on 28November\\u2026'"
cybersec_feeds,4446,3,"b'RT @erdiayyildiz: Data Center Expo Eurasia 2019, the first and only data center exhibition in Eurasia Region, will take place on 28November\\u2026'"
arjenvanberkum,35642,0,"b'Find out where #ArtificialIntelligence, #Machinelearning, and deep learning proof effective. \\xbb\\u2026 https://t.co/mturNs0P0h'"
cool_python,5021,2,b'RT @PyData: Keep up with new developments from @NumFOCUS sponsored projects \\u2014 join our monthly email newsletter: https://t.co/xJeTIhY0Zt\\n\\n#\\u2026'
datascrum,63,6,"b'RT @marcusborba: 63% of #CEOs agree, #AI will have a greater impact than the #Internet \\n\\nhttps://t.co/g0ZZwORY84 via @MikeQuindazzi\\n \\n#Arti\\u2026'"
thomashilbig2,1464,4,b'RT @ipfconline1: How a #DataScience Company Uses Comics to Make Data Less Complicated\\n\\nhttps://t.co/txKVgHQEac by @Cate_Lawrence via @DZone\\u2026'
Ronald_vanLoon,202450,7,"b'Difference between the #SurfaceWeb, the #DeepWeb and the #DarkWeb [#INFOGRAPHICS] \\n by @glwebeu | \\n\\nRead more at\\u2026 https://t.co/NgfAVaC7pf'"
miguelbernabeu3,5,0,"b'@TeoGarciaEgea te falla el bigdata,Te\\xf3doro .\\nB\\xe1jate pa Cieza,'"
cybersec_feeds,4446,20,b'RT @reach2ratan: \\u201cBriansClub\\u201d Hack Rescues 26M Stolen Cards https://t.co/ciUpiy9N3X\\n\\n#CyberSecurity #Databreach #Ransomware #Hackers  #info\\u2026'
cybersec_feeds,4446,25,b'RT @reach2ratan: Targeted Ransomware Attacks Hit Several Spanish Companies https://t.co/abi2AOhkfD\\n\\n#CyberSecurity #Databreach #Ransomware\\u2026'
stu_bailey,381,6,"b'RT @marcusborba: 63% of #CEOs agree, #AI will have a greater impact than the #Internet \\n\\nhttps://t.co/g0ZZwORY84 via @MikeQuindazzi\\n \\n#Arti\\u2026'"
PyData,44990,2,b'Keep up with new developments from @NumFOCUS sponsored projects \\u2014 join our monthly email newsletter:\\u2026 https://t.co/O0hvdoS5F5'
TheCuriousLuke,3331,2,b'RT @NclsData: 3 Essential Visualisation Books for Aspiring Data Scientists. #DataAnalytics #Data #Cloud #IoT #BusinessIntelligence #DataLak\\u2026'
JustBeMentalist,2259,1,"b'RT @RichardEudes: Learning Python For Data Science https://t.co/0ex1gZR07f #bigdata, #datascience, #datascience #ds'"
JustBeMentalist,2259,2,b'RT @NclsData: 3 Essential Visualisation Books for Aspiring Data Scientists. #DataAnalytics #Data #Cloud #IoT #BusinessIntelligence #DataLak\\u2026'
RichardEudes,14006,1,"b'Learning Python For Data Science https://t.co/0ex1gZR07f #bigdata, #datascience, #datascience #ds'"
marcusfborba,652,6,"b'RT @marcusborba: 63% of #CEOs agree, #AI will have a greater impact than the #Internet \\n\\nhttps://t.co/g0ZZwORY84 via @MikeQuindazzi\\n \\n#Arti\\u2026'"
METAMORF_US,14837,0,"b'#Analyticship:#BI,#AI,#ML,#BigData,#Analytics,#HiEd:IBM Cloud Pak for Data 2.5: Bringing open source to the core |\\u2026 https://t.co/ux9GdrZ2bW'"
sectest9,28152,20,b'RT @gp_pulipaka: Automate Your Amazon #DynamoDB Backup Using #Serverless Lambda. #BigData #Analytics #NoSQL #DataScience #AI #MachineLearni\\u2026'
sectest9,28152,1,b'RT @ConnectedWMag: .@Q_employ named me as one of the Biggest Influencers in IT-Consulting. Read more about it at: https://t.co/mpWMM2ezyx #\\u2026'
DupontDaniel2,5,20,b'RT @gp_pulipaka: Automate Your Amazon #DynamoDB Backup Using #Serverless Lambda. #BigData #Analytics #NoSQL #DataScience #AI #MachineLearni\\u2026'
Jeremy972i,453,2,"b'RT @METAMORF_US: #Analyticship:#BI,#AI,#ML,#BigData,#Analytics,#HiEd:Extracting the value of location and time data just got simpler | IBM\\u2026'"
NclsData,865,2,b'3 Essential Visualisation Books for Aspiring Data Scientists. #DataAnalytics #Data #Cloud #IoT\\u2026 https://t.co/TTmpaSh0gu'
Digitraxent,1278,0,b'DigiTrax knows music forensics https://t.co/puKVKC05K1 #ML #MachineLearning #AI #ArtificialIntelligence\\u2026 https://t.co/fYv99dPsSc'
SantchiWeb,8500,1,b'RT @iamjony94: 6 ways to win at Facebook Messenger marketing https://t.co/eRSrhccjqz #socialmedia #digitalmarketing #contentmarketing #grow\\u2026'
ConnectedWMag,33910,1,b'.@Q_employ named me as one of the Biggest Influencers in IT-Consulting. Read more about it at:\\u2026 https://t.co/7p8usiYWbz'
MarketBuildr,5782,0,b'How to turn #BigData into Smart Data https://t.co/M0shouMcix #JourneyAnalytics #Martech https://t.co/XV3WzQjpP2'
METAMORF_US,14837,0,"b'#Analyticship:#BI,#AI,#ML,#BigData,#Analytics,#HiEd: How to build a hybrid cloud by launching a more precise cloud\\u2026 https://t.co/CF34wNp1wo'"
iamjony94,13545,1,b'6 ways to win at Facebook Messenger marketing https://t.co/eRSrhccjqz #socialmedia #digitalmarketing\\u2026 https://t.co/Nd3oMh3obc'
akdm_bot,1399,3,b'RT @DataScientistsF: via @RichardEudes - Artificial intelligence warning: AI deemed \\u2019too dangerous\\u2019 released into the world  https://t.co/a\\u2026'
OlumideIDOWU,34982,1,"b'RT @CGIAR_Data: Can we feed the planet, and stay within planetary boundaries? Professor Mario Herrero addresses the key messages of the @EA\\u2026'"
ipfconline1,113238,0,b'Beyond Multi-Channel: The Benefits of an Omnichannel Customer Experience\\nhttps://t.co/ZXrzxL7weQ   via\\u2026 https://t.co/AtZ4Kz6wor'
samurai36jack,19,70,"b'RT @milos_agathon: My map shows identified victims of the Jasenovac concentration camp complex, Ustasha factory of death for Jews, Roma, Se\\u2026'"
BigDataF1,68,0,b'Is that someone standing at my Back ? #BigData'
marcusborba,36643,6,"b'63% of #CEOs agree, #AI will have a greater impact than the #Internet \\n\\nhttps://t.co/g0ZZwORY84 via @MikeQuindazzi\\u2026 https://t.co/XBHvwDFaX9'"
BigDataF1,68,0,b'I am away from home and hope to collect some  data here too ! #BigData'
wynandbooysen,1545,2,"b'RT @METAMORF_US: #Analyticship:#BI,#AI,#ML,#BigData,#Analytics,#HiEd:Extracting the value of location and time data just got simpler | IBM\\u2026'"
IoTBigDataJobs,1755,0,b'You deserve better and you know it =&gt; BIOS Engineer https://t.co/WCMb1CfQeF #bigdata #iot #analytics #ai https://t.co/Ny14Vy6ZuO'
CGIAR_Data,6060,1,"b'Can we feed the planet, and stay within planetary boundaries? Professor Mario Herrero addresses the key messages of\\u2026 https://t.co/CtFPydAvfh'"
MyResLoc,3976,0,"b'#BigData @AnalyticsWeek #FutureOfData #Podcast with @Beena_Ammanath, @GE https://t.co/UDuFz4RWyq'"
yourXss,146,20,b'RT @DataDrivenHenry: The cold truth about #cyber insurance.\\n\\n#data #dataprotection #datasecurity #CyberSecurity  #personalfinance #fintech\\u2026'
METAMORF_US,14837,0,"b'#Analyticship:#BI,#AI,#ML,#BigData,#Analytics,#HiEd:What is the Impact of Data Science Automation? | IBM Big Data &amp;\\u2026 https://t.co/PC0afEV0Yk'"
METAMORF_US,14837,2,"b'#Analyticship:#BI,#AI,#ML,#BigData,#Analytics,#HiEd:Extracting the value of location and time data just got simpler\\u2026 https://t.co/aAdx6mQlSp'"
pivotcloud,631,4,"b'RT @BigData_Fr: via @RichardEudes - Building the AI-Powered Organization  https://t.co/zNDh6X0P3S\\xa0 #artificialintelligence, #ba #businessan\\u2026'"
whatsthebigdata,14412,0,b'What did you pay for that? #Bigdata #pricing might surprise you\\nhttps://t.co/veHCRjDg4w'
Musti_051,562,10,"b'RT @kadirkurtulus: 11. Devam\\u0131nda bigdata, yapay zeka ,art\\u0131r\\u0131lm\\u0131\\u015f ger\\xe7eklik, robotlar gibi konularda yepyeni hukuki kavramlar hak ve \\xf6zg\\xfcrl\\xfc\\u2026'"
METAMORF_US,14837,0,"b'#Analyticship:#BI,#AI,#ML,#BigData,#Analytics,#HiEd:Is multicloud IT an opportunity or an obstacle? | IBM Big Data\\u2026 https://t.co/Nn6kxD28Xm'"
METAMORF_US,14837,0,"b'#Analyticship:#BI,#AI,#ML,#BigData,#Analytics,#HiEd:Data and AI Forum: Hightlights from Business Analytics | IBM Bi\\u2026 https://t.co/sBF8LM3DC9'"
Jeremy972i,453,20,b'RT @DataDrivenHenry: The cold truth about #cyber insurance.\\n\\n#data #dataprotection #datasecurity #CyberSecurity  #personalfinance #fintech\\u2026'
Hackingdom_io,674,0,b'A roadmap for data-driven organizations #BigData via https://t.co/eOSixYnZ6P https://t.co/QcLsebRDVd'
bigdata,44262,0,"b'\\U0001f51c Join us at AI Week, next week in Tel Aviv: we have an incredible lineup of speakers including Amnon Shashua\\u2026 https://t.co/anopzx15JT'"
bigdata,44262,4,b'Presto improvements: the last 10 months #DataOrchestration summit https://t.co/ofBXK8XrBh https://t.co/0q4Xd8Zof7'
bigdata,44262,2,b'The talks at the first #DataOrchestration summit have been outstanding: real-world architectures and implementation\\u2026 https://t.co/NZjMWv87EE'
bigdata,44262,2,"b'Looking forward to the first #DataOrchestration Summit, today @ComputerHistory in Mountain View\\u2026 https://t.co/GFG6NVrTtd'"
bigdata,44262,0,"b""San Francisco's meth problem \\U0001f4fb an important discussion between @sfchronicle's @KevinChron and @DominicFracassa https://t.co/ESUP32QP5q"""
bigdata,44262,0,b'Why every Python developer will love @ucbrise Ray \\u21e2 good \\U0001f195 overview by @alex_woodie https://t.co/UPwbBPAiuz'
bigdata,44262,3,b'RT @faculty_ai: We\\u2019re delighted to attend @thesundaytimes Tech Track 100 awards last night where we were listed #22 fastest-growing private\\u2026'
bigdata,44262,6,"b""RT @theCUBE365: Dr. Francesca Lazzeri speaks on Microsoft's big push to develop responsible AI.\\n\\nhttps://t.co/f9e2lqdEZR\\n@frlazzeri @Micros\\u2026"""
bigdata,44262,0,b'\\U0001f64c Halloween card spotted @PinholeCoffee https://t.co/yUyEKsZalo'
bigdata,44262,3,"b""I'll be moderating a panel featuring open source luminaries \\n@mistercrunch @benh @Haoyuan\\n this Thursday (Nov 7th)\\u2026 https://t.co/TdFIL11hMx"""
bigdata,44262,5,"b'Scalable AutoML for Time Series \\U0001f4c8 Jason Dai anf team @intel on automating the process of feature generation, model\\u2026 https://t.co/ZwsODYJVNr'"
bigdata,44262,1,"b'After watching @axios interview of @KamalaHarris, it\\u2019s a shame she isn\\u2019t resonating as well as the other candidates.'"
bigdata,44262,9,b'RT @pacoid: Looking forward to teaching a @spacy_io tutorial at #BIGTH19 in Madrid on Nov 20!!! #Python #NLP \\nhttps://t.co/6FFSUdokwM'
bigdata,44262,0,b'Attacking smart speakers and voice interfaces with lasers \\U0001f5e3\\ufe0f\\U0001f3e1\\U0001f513 https://t.co/B19IZ9tJs5'
bigdata,44262,3,"b""I'll be moderating a panel featuring open source luminaries @mistercrunch @benh @Haoyuan next Thursday (Nov 7th) at\\u2026 https://t.co/VmUx3BCQOx"""
bigdata,44262,2,"b'RT @matroid: We gave away 20 free copies of our TF book today, good to see so many of you!\\nhttps://t.co/bjiBKsMnux'"
bigdata,44262,6,"b""Thanks\\U0001f64f to all who attended #TFWorld 2019 \\U0001f4f8 here's the official conference photo album (more pics to be uploaded so\\u2026 https://t.co/mUi5hJ7eLi"""
bigdata,44262,1,b'TensorFlow @Twitter: what worked and what need improvement #TFWorld https://t.co/OV0lX8Tj0m'
bigdata,44262,0,b'Machine Learning and TensorFlow @Twitter #TFWorld https://t.co/IRWkdHAXtI'
bigdata,44262,0,b'Good talk by Jason Dai @intel \\u26bd\\ufe0f\\u26bd\\ufe0f\\u26bd\\ufe0f \\u201cBuilding AI to play the FIFA video game using distributed TensorFlow\\u201d #TFWorld https://t.co/mKUQTD7CpN'
bigdata,44262,4,b'Difference in scale: @netflix and @Spotify \\U0001f449 @TonyJebara #TFWorld https://t.co/QwpByFF7Kv'
bigdata,44262,1,"b""Here's my 2018 conversation with @DualityTech CEO Alon Kaufman  \\U0001f4fb  https://t.co/JPBDr0FIgw"""
bigdata,44262,3,b'Congratulations to the @DualityTech team on their new round of funding \\U0001f44f #dataprivacy  https://t.co/YAoIHIg8PF'
bigdata,44262,4,"b'In case you missed it,  @ClemensMewald @Databricks gave a great talk today at #TFWorld on the \\U0001f195 Model Registry in M\\u2026 https://t.co/f0F2XLJR6s'"
bigdata,44262,5,"b'Apache Pulsar meetup in Shanghai \\U0001f1e8\\U0001f1f3 on Nov 16th,  will feature adoption stories from  @chinateleglobal,\\u2026 https://t.co/rgwfjoAJek'"
bigdata,44262,21,"b""RT @JeffDean: I'm very happy to see this announced.  Congratulations to Ion!\\n\\nAs this year's chair of the Mark Weiser Award committee, I wa\\u2026"""
bigdata,44262,0,b'Congratulations to Ion Stoica @ucbrise: https://t.co/hLsQT4L6EO'
bigdata,44262,1,b'Early morning on tutorial day at the first #TFWorld in Santa Clara https://t.co/xVNBh21aU7'
bigdata,44262,1,b'Massive evacuations ordered in Sonoma County as Kincade Fire spreads  https://t.co/hAblD2UyfX'
bigdata,44262,2,b'Eddie Murphy is back \\U0001f44d\\U0001f44d\\U0001f44d https://t.co/1r7YsvW3Vn'
bigdata,44262,0,b'$10Billion JEDI Cloud contract goes to @Azure (this is for infrastructure to support @USDOD business and mission op\\u2026 https://t.co/FKTqoZ8Qas'
bigdata,44262,1,"b""RT @computable_io: This week's developer update is out! We now have a private testnet data market with our release candidate for mainnet la\\u2026"""
bigdata,44262,0,"b'Applying BERT and language models to Search \\u21e2 ""by applying BERT models to both ranking and featured snippets in Sea\\u2026 https://t.co/KnARe2TpNH'"
bigdata,44262,7,"b'New open source project from @netflix: \\u201cPolynote: a new, polyglot notebook with first-class Scala support, Apache S\\u2026 https://t.co/sNy1Jwgiew'"
bigdata,44262,1,b'Kudos to @IEEESpectrum for this piece on the OpenAg #vaporware project from @medialab https://t.co/2Z0d8qbf8H'
bigdata,44262,3,b'Lots of interesting new updates being shared at the third @ucbrise Ray Meetup in San Francisco: distributed trainin\\u2026 https://t.co/YGoxTAD0ru'
bigdata,44262,4,"b'Powering  the Tencent Billing Platform with Apache Pulsar \\u21e2 Pulsar ""... handles tens of billions of transactions du\\u2026 https://t.co/OKlPNNyqH8'"
bigdata,44262,8,"b""RT @Graphistry: Hi @splunkconf analysts! Did you know your best practices can help the fight against human trafficking?\\n\\nIf you're into dat\\u2026"""
bigdata,44262,1,"b""RT @computable_io: This week's developer update is up!  We've made a lot of progress this week and even have some sneak peeks from our new\\u2026"""
bigdata,44262,3,"b'The \\u201cwinning\\u201d entry is beautiful, how can @SupStefani object?https://t.co/69GSmS7tMK \\U0001f449 another great piece by\\u2026 https://t.co/mcXdyid6XB'"
bigdata,44262,6,"b'RT @karthikz: Excellent blog post by Yuvaraj @SkyRocknRoll  on ""Why Nutanix Beam went ahead with Apache Pulsar instead of Apache Kafka?"" -\\u2026'"
bigdata,44262,3,"b""This will be very useful to anyone struggling with ML Model governance: @matei_zaharia on MLflow's \\U0001f195 Model Registry\\u2026 https://t.co/WKoIc4HRoV"""
bigdata,44262,0,b'Thread - good investigative reporting from @propublica https://t.co/rtRRBFsKht'
bigdata,44262,47,"b'RT @matei_zaharia: My keynote talk on the MLflow Model Registry is now available online, including a great demo from Corey Zumar: https://t\\u2026'"
bigdata,44262,1,b'Hyde Park in London https://t.co/YG3Of2B7Wx'
bigdata,44262,7,b'RT @ihabilyas: Great turnout for my talk @OReillyAI today on #holoclean and AI for automating data cleaning. @WaterlooMath https://t.co/BoF\\u2026'
bigdata,44262,3,b'RT @WeifengZhong: Great experience talking the Policy Change Index projects on #China and #HongKongProtests at #OReillyAI. Thanks for havin\\u2026'
bigdata,44262,5,b'Simplifying model management and model development with MLflow Model Registry \\u21e2 @matei_zaharia on the \\U0001f192 new feature\\u2026 https://t.co/knaWi785mZ'
bigdata,44262,6,"b""That's a wrap \\U0001f64f to all who attended the second #OReillyAI London \\U0001f4f8 here's the official conference photo album (more\\u2026 https://t.co/RcZyffYLCp"""
bigdata,44262,3,b'Learning structural changes from text data: @WeifengZhong is speaking right now on the Policy Change Index #China\\u2026 https://t.co/H4IByqPesX'
bigdata,44262,2,b'Coming soon at #OReillyAI London https://t.co/ZM8lJi9TK8'
bigdata,44262,6,"b'For mission critical applications, we still have more work to do to ensure safety and reliability of AI and ML appl\\u2026 https://t.co/WAyyyIXYi5'"
bigdata,44262,6,"b'Using matching learning to improve data quality: @ihabilyas on the noisy channel model, error detection and repair\\u2026 https://t.co/e9LO24yW6t'"
bigdata,44262,1,"b'RT @pacoid: Favorite pick for upcoming talks today at #OReillyAI London: ""Principled tools for analyzing weight matrices of production-scal\\u2026'"
bigdata,44262,6,"b""RT @OReillyAI: Great overview from @oldcap of LinkedIn's deep learning techniques and stack. The goal is to turn a complex experience that\\u2026"""
bigdata,44262,2,b'When to Trust AI \\U0001f449 I am really looking forward to this 9:55 a.m. keynote by Marta Kwiatkowska @CompSciOxford\\u2026 https://t.co/PItZ62VO4X'
bigdata,44262,1,b'Principled tools for analyzing weight matrices of production-scale deep neural networks - Mike Mahoney of @ucbrise\\u2026 https://t.co/p6LZE6bc6N'
bigdata,44262,4,b'The scale of inference at Facebook is amazing! @DrKimHazelwood @mfawzymkh #OReillyAI London https://t.co/MVPyVzINXu'
bigdata,44262,2,b'Great energy at Speed Networking #OReillyAI London this morning \\U0001f44a https://t.co/CtavZ5wnN8'
bigdata,44262,5,"b""RT @jeremiecharris: Had a great time chatting with O'Reilly Media's Ben Lorica @bigdata and @russ_poll for this episode!\\n\\nGreat chat about\\u2026"""
bigdata,44262,4,b'RT @TDataScience: Trends in data science with O\\u2019Reilly Media\\u2019s Chief Data Scientist  \\U0001f3a7 @jeremiecharris  @bigdata https://t.co/amURke5IzK'
bigdata,44262,5,b'RT @karthikz: Yet another excellent blog by @cdbartholomew - 5 more reasons to choose #apachepulsar over #apachekafka - https://t.co/DKxSQm\\u2026'
